,0
42,あたかも自尊心を傷けられた人のような眼を彼の周囲に向けた。けれども彼の心のうちに
43,何事が起りつつあるかをまるで知らない車中の乗客は、彼の眼遣に対して少しの注意も払わなかった。
44,彼の頭は彼の乗っている電車のように、自分自身の軌道の上を走って前へ進むだけであった。
45,彼は二三日前ある友達から聞いたポアンカレーの話を思い出した。
46,彼のために「偶然」の意味を説明してくれたその友達は彼に向ってこう云った。「だから君、
47,普通世間で偶然だ偶然だという、いわゆる偶然の出来事というのは、ポアンカレーの説によると、
48,原因があまりに複雑過ぎてちょっと見当がつかない時に云うのだね。
49,ナポレオンが生れるためには或特別の卵と或特別の精虫の配合が必要で、その必要な配合が出来得るためには、
50,またどんな条件が必要であったかと考えて見ると、ほとんど想像がつかないだろう」彼は友達の言葉を、
51,単に与えられた新らしい知識の断片として聞き流す訳に行かなかった。
52,彼はそれをぴたりと自分の身の上に当て篏めて考えた。すると暗い不可思議な力が右に行くべき彼を左に押しやったり、
53,前に進むべき彼を後ろに引き戻したりするように思えた。しかも彼はついぞ今まで自分の行動について
54,他から牽制を受けた覚がなかった。する事はみんな自分の力でし、
55,言う事はことごとく自分の力で言ったに相違なかった。「どうしてあの女はあすこへ嫁に行ったのだろう。
56,それは自分で行こうと思ったから行ったに違ない。しかしどうしてもあすこへ嫁に行くはずではなかったのに。
57,そうしてこのおれはまたどうしてあの女と結婚したのだろう。
58,それもおれが貰おうと思ったからこそ結婚が成立したに違ない。
59,しかしおれはいまだかつてあの女を貰おうとは思っていなかったのに。偶然？　ポアンカレーのいわゆる複雑の極致？
60,何だか解らない」　彼は電車を降りて考えながら宅の方へ歩いて行った。章おわり。
61,角を曲って細い小路へ這入った時、津田は
62,わが門前に立っている細君の姿を認めた。その細君はこっちを見ていた。しかし
63,津田の影が曲り角から出るや否や、すぐ正面の方へ向き直った。
64,そうして白い繊い手を額の所へ翳すようにあてがって何か見上げる風をした。
65,彼女は津田が自分のすぐ傍へ寄って来るまでその態度を改めなかった。「おい何を見ているんだ」
66,細君は津田の声を聞くとさも驚ろいたように急にこっちをふり向いた。「ああ吃驚した。――御帰り遊ばせ」
67,同時に細君は自分のもっているあらゆる眼の輝きを集めて一度に夫の上に注ぎかけた。
68,それから心持腰を曲めて軽い会釈をした。　半ば細君の嬌態に応じようとした津田は
69,「だって何か一生懸命に見ていたじゃないか」「ええ。あれ雀よ。
70,雀が御向うの宅の二階の庇に巣を食ってるんでしょう」津田はちょっと向うの宅の屋根を見上げた。
71,津田は始めて気がついたように自分の持っている洋杖を細君に渡した。それを受取った彼女は
72,また自分で玄関の格子戸を開けて夫を先へ入れた。それから自分も夫の後に跟いて
73,沓脱から上った。夫に着物を脱ぎ換えさせた彼女は津田が火鉢の前に坐るか坐らないうちに、
74,また勝手の方から石鹸入を手拭に包んで持って出た。「ちょっと今のうち一風呂浴びていらっしゃい。
75,またそこへ坐り込むと臆劫になるから」津田は仕方なしに手を出して手拭を受取った。
76,しかしすぐ立とうとはしなかった。「湯は今日はやめにしようかしら」「なぜ。――さっぱりするから行っていらっしゃいよ。
77,帰るとすぐ御飯にして上げますから」津田は仕方なしにまた立ち上った。
78,室を出る時、彼はちょっと細君の方をふり返った。「今日帰りに小林さんへ寄って診て貰って来たよ」「そう。
79,そうしてどうなの、診察の結果は。おおかたもう癒ってるんでしょう」「ところが癒らない。
80,いよいよ厄介な事になっちまった」　津田はこう云ったなり、後を聞きたがる細君の質問を
81,聞き捨てにして表へ出た。同じ話題が再び夫婦の間に戻って来たのは晩食が済んで
82,津田がまだ自分の室へ引き取らない宵の口であった。「厭ね、切るなんて、怖くって。
83,今までのようにそっとしておいたってよかないの」「やっぱり医者の方から云うとこのままじゃ危険なんだろうね」
84,「だけど厭だわ、あなた。もし切り損ないでもすると」
85,細君は濃い恰好の好い眉を心持寄せて夫を見た。津田は取り合ずに笑っていた。
86,細君にはこの次の日曜に夫と共に親類から誘われて芝居見物に行く約束があった。
87,「まだ席を取ってないんだから構やしないさ、断わったって」「でもそりゃ悪いわ、あなた。
88,せっかく親切にああ云ってくれるものを断っちゃ」「悪かないよ。相当の事情があって断わるんなら」
89,「でもあたし行きたいんですもの」「御前は行きたければおいでな」「だからあなたもいらっしゃいな、ね。御厭？」
90,津田は細君の顔を見て苦笑を洩らした。章、終り。
91,四細君は色の白い女であった。そのせいで
92,形の好い彼女の眉が一際引立って見えた。彼女はまた癖のようによくその眉を動かした。
93,惜しい事に彼女の眼は細過ぎた。おまけに愛嬌のない一重瞼であった。
94,けれどもその一重瞼の中に輝やく瞳子は漆黒であった。だから非常によく働らいた。
95,或時は専横と云ってもいいくらいに表情を恣ままにした。
96,津田は我知らずこの小さい眼から出る光に牽きつけられる事があった。そうしてまた突然何の原因もなしに
97,その光から跳ね返される事もないではなかった。彼がふと眼を上げて細君を見た時、
98,彼は刹那的に彼女の眼に宿る一種の怪しい力を感じた。それは
99,今まで彼女の口にしつつあった甘い言葉とは全く釣り合わない妙な輝やきであった。
100,相手の言葉に対して返事をしようとした彼の心の作用がこの眼つきのためにちょっと遮断された。
101,すると彼女はすぐ美くしい歯を出して微笑した。同時に眼の表情があとかたもなく消えた。「嘘よ。
102,あたし芝居なんか行かなくってもいいのよ。今のはただ甘ったれたのよ」
103,黙った津田はなおしばらく細君から眼を放さなかった。「何だってそんなむずかしい顔をして、あたしを御覧になるの。
104,――芝居はもうやめるから、この次の日曜に小林さんに行って手術を受けていらっしゃい。それで好いでしょう。
105,岡本へは二三日中に端書を出すか、でなければ私がちょっと行って断わって来ますから」「御前は行ってもいいんだよ。
106,せっかく誘ってくれたもんだから」「いえ私も止しにするわ。芝居よりもあなたの健康の方が大事ですもの」
107,津田は自分の受けべき手術についてなお詳しい話を細君にしなければならなかった。「手術ってたって、
108,そう腫物の膿を出すように簡単にゃ行かないんだよ。最初下剤をかけてまず腸を綺麗に掃除しておいて、
109,それからいよいよ切開すると、出血の危険があるかも知れないというので、創口へガーゼを詰めたまま、
110,五六日の間はじっとして寝ているんだそうだから。だからたといこの次の日曜に行くとしたところで、
111,どうせ日曜一日じゃ済まないんだ。
112,その代り日曜が延びて月曜になろうとも火曜になろうとも大した違にゃならないし、
113,また日曜を繰り上げて明日にしたところで、明後日にしたところで、やっぱり同じ事なんだ。
114,そこへ行くとまあ楽な病気だね」「あんまり楽でもないわあなた、一週間も寝たぎりで動く事ができなくっちゃ」
115,細君はまたぴくぴくと眉を動かして見せた。
116,津田はそれに全く無頓着であると云った風に、何か考えながら、二人の間に置かれた長火鉢の縁に右の肘を靠たせて、
117,その中に掛けてある鉄瓶の葢を眺めた。朱銅の葢の下では湯の沸る音が高くした。
118,「じゃどうしても御勤めを一週間ばかり休まなくっちゃならないわね」
119,「だから吉川さんに会って訳を話して見た上で、日取をきめようかと思っているところだ。
120,黙って休んでも構わないようなもののそうも行かないから」「そりゃあなた御話しになる方がいいわ。
121,平生からあんなに御世話になっているんですもの」「吉川さんに話したら明日からすぐ入院しろって云うかも知れない」
122,入院という言葉を聞いた細君は急に細い眼を広げるようにした。「入院？　入院なさるんじゃないでしょう」「まあ入院さ」
123,「だって小林さんは病院じゃないっていつかおっしゃったじゃないの。みんな外来の患者ばかりだって」
124,診察所の二階が空いてるもんだから、そこへ入いる事もできるようになってるんだ」「綺麗？」　津田は苦笑した。
125,「自宅よりは少しあ綺麗かも知れない」　今度は細君が苦笑した。章おわり。
126,やがて立ち上った。細君は今まで通りの楽な姿勢で火鉢に倚りかかったまま夫を見上げた。
127,「また御勉強？」細君は時々立ち上がる夫に向ってこう云った。
128,彼女がこういう時には、いつでもその語調のうちに或物足らなさがあるように津田の耳に響いた。
129,ある時の彼は進んでそれに媚びようとした。ある時の彼はかえって反感的にそれから逃れたくなった。
130,細君はまた彼の背後から声を掛けた。「じゃ芝居はもうおやめね。岡本へは私から断っておきましょうね」
131,津田はちょっとふり向いた。「だから御前はおいでよ、行きたければ。おれは今のような訳で、どうなるか分らないんだから」
132,細君は下を向いたぎり夫を見返さなかった。返事もしなかった。
133,津田はそれぎり勾配の急な階子段をぎしぎし踏んで二階へ上った。
134,彼の机の上には比較的大きな洋書が一冊載せてあった。彼は坐るなりそれを開いて
135,枝折の挿んである頁を目標にそこから読みにかかった。けれども三四日等閑にしておいた咎が祟って、
136,気の差した彼は、読む事の代りに、ただ頁をばらばらと翻して書物の厚味ばかりを苦にするように眺めた。
137,すると前途遼遠という気が自から起った。
138,彼は結婚後三四カ月目に始めてこの書物を手にした事を思い出した。
139,気がついて見るとそれから今日までにもう二カ月以上も経っているのに、
140,彼の読んだ頁はまだ全体の三分の二にも足らなかった。彼は平生から世間へ出る多くの人が、
141,出るとすぐ書物に遠ざかってしまうのを、さも下らない愚物のように細君の前で罵っていた。
142,それを夫の口癖として聴かされた細君はまた彼を本当の勉強家として認めなければならないほど
143,比較的多くの時間が二階で費やされた。前途遼遠という気と共に、面目ないという心持がどこからか出て来て、
144,意地悪く彼の自尊心を擽った。しかし今彼が自分の前に拡げている書物から吸収しようと力めている知識は、
145,彼の日々の業務上に必要なものではなかった。それにはあまりに専門的で、またあまりに高尚過ぎた。
146,学校の講義から得た知識ですら
147,滅多に実際の役に立った例のない今の勤め向きとはほとんど没交渉と云ってもいいくらいのものであった。
148,彼はただそれを一種の自信力として貯えておきたかった。
149,他の注意を惹く粧飾としても身に着けておきたかった。その困難が今の彼に朧気ながら見えて来た時、
150,彼は彼の己惚に訊いて見た。「そう旨くは行かないものかな」彼は黙って煙草を吹かした。
151,それから急に気がついたように書物を伏せて立ち上った。
152,そうして足早に階子段をまたぎしぎし鳴らして下へ降りた。章、終り。
153,「おいお延」
154,彼は襖越しに細君の名を呼びながら、すぐ唐紙を開けて茶の間の入口に立った。
155,すると長火鉢の傍に坐っている彼女の前に、
156,いつの間にか取り拡げられた美くしい帯と着物の色がたちまち彼の眼に映った。暗い玄関から
157,細君の顔と派出やかな模様とを等分に見較べた。「今時分そんなものを出してどうするんだい」
158,お延は檜扇模様の丸帯の端を膝の上に載せたまま、遠くから津田を見やった。「ただ出して見たのよ。
159,あたしこの帯まだ一遍も締めた事がないんですもの」「それで今度その服装で芝居に出かけようと云うのかね」
160,津田の言葉には皮肉に伴う或冷やかさがあった。お延は何にも答えずに下を向いた。
161,そうしていつもする通り黒い眉をぴくりと動かして見せた。彼女に特異なこの所作は
162,時として変に津田の心を唆かすと共に、時として妙に彼の気持を悪くさせた。
163,彼は黙って縁側へ出て厠の戸を開けた。それからまた二階へ上がろうとした。
164,すると今度は細君の方から彼を呼びとめた。「あなた、あなた」同時に彼女は立って来た。
165,そうして彼の前を塞ぐようにして訊いた。「何か御用なの」
166,彼の用事は今の彼にとって細君の帯よりも長襦袢よりもむしろ大事なものであった。
167,「御父さんからまだ手紙は来なかったかね」「いいえ来ればいつもの通り御机の上に載せておきますわ」
168,「来れば書留だから、郵便函の中へ投げ込んで行くはずはないよ」
169,「駄目だよ。書留がそんな中に入ってる訳がないよ」「でも書留でなくってただのが入ってるかも知れないから、
170,ちょっと待っていらっしゃい」津田はようやく茶の間へ引き返して、先刻飯を食う時に坐った座蒲団が、
171,まだ火鉢の前に元の通り据えてある上に胡坐をかいた。そうしてそこに燦爛と取り乱された
172,濃い友染模様の色を見守った。すぐ玄関から取って返したお延の手にははたして一通の書状があった。
173,「あってよ、一本。ことによると御父さまからかも知れないわ」
174,「何だ書留じゃないのか」津田は手紙を受け取るなり、すぐ封を切って読み下した。
175,しかしそれを読んでしまって、また封筒へ収めるために巻き返した時には、彼の手がただ器械的に動くだけであった。
176,彼は自分の手元も見なければ、またお延の顔も見なかった。
177,ぼんやり細君のよそ行着の荒い御召の縞柄を眺めながら独りごとのように云った。「困るな」
178,「どうなすったの」「なに大した事じゃない」見栄の強い津田は手紙の中に書いてある事を、
179,結婚してまだ間もない細君に話したくなかった。けれどもそれはまた細君に話さなければならない事でもあった。
180,七「今月はいつも通り送金ができないからそっちで
181,どうか都合しておけというんだ。年寄はこれだから困るね。そんならそうともっと早く云ってくれればいいのに、
182,突然金の要る間際になって、こんな事を云って来て」「いったいどういう訳なんでしょう」津田はいったん巻き収めた手紙を
183,また封筒から出して膝の上で繰り拡げた。「貸家が二軒先月末に空いちまったんだそうだ。
184,それから塞がってる分からも家賃が入って来ないんだそうだ。そこへ持って来て、庭の手入だの垣根の繕いだので、
185,だいぶ臨時費が嵩んだから今月は送れないって云うんだ」
186,彼は開いた手紙を、そのまま火鉢の向う側にいるお延の手に渡した。御延はまた何も云わずにそれを受取ったぎり、
187,別に読もうともしなかった。この冷かな細君の態度を津田は最初から恐れていたのであった。
188,「なにそんな家賃なんぞ当にしないだって、送ってさえくれようと思えばどうにでも都合はつくのさ。
189,垣根を繕うたっていくらかかるものかね。煉瓦の塀を一丁も拵えやしまいし」
190,津田の言葉に偽はなかった。彼の父はよし富裕でないまでも、毎月息子夫婦のために
191,その生計の不足を補ってやるくらいの出費に窮する身分ではなかった。ただ彼は地味な人であった。
192,津田から云えば地味過ぎるぐらい質素であった。津田よりもずっと派出好きな細君から見れば
193,ほとんど無意味に近い節倹家であった。
194,「御父さまはきっと私達が要らない贅沢をして、むやみに御金をぱっぱっと遣うようにでも思っていらっしゃるのよ。きっとそうよ」
195,「うんこの前京都へ行った時にも何だかそんな事を云ってたじゃないか。年寄はね、何でも自分の若い時の生計を覚えていて、
196,同年輩の今の若いものも、万事自分のして来た通りにしなければならないように考えるんだからね。
197,そりゃ御父さんの三十もおれの三十も年歯に変りはないかも知れないが、周囲はまるで違っているんだからそうは行かないさ。
198,いつかも会へ行く時会費はいくらだと訊くから五円だって云ったら、驚ろいて恐ろしいような顔をした事があるよ」
199,津田は平生からお延が自分の父を軽蔑する事を恐れていた。
200,それでいて彼は彼女の前にわが父に対する非難がましい言葉を洩らさなければならなかった。
201,それは本当に彼の感じた通りの言葉であった。同時にお延の批判に対して先手を打つという点で、
202,自分と父の言訳にもなった。「で今月はどうするの。ただでさえ足りないところへ持って来て、あなたが手術のために
203,一週間も入院なさると、またそっちの方でもいくらかかかるでしょう」夫の手前老人に対する批評を憚かった細君の話頭は、
204,すぐ実際問題の方へ入って来た。津田の答は用意されていなかった。しばらくして彼は小声で独語のように云った。
205,「藤井の叔父に金があると、あすこへ行くんだが」　お延は夫の顔を見つめた。
206,「もう一遍御父さまのところへ云って上げる訳にゃ行かないの。ついでに病気の事も書いて」「書いてやれない事もないが、
207,また何とかかとか云って来られると面倒だからね。御父さんに捕まると、そりゃなかなか埒は開かないよ」
208,「でもほかに当がなければ仕方なかないの」「だから書かないとは云わない。
209,こっちの事情が好く向うへ通じるようにする事はするつもりだが、何しろすぐの間には合わないからな」「そうね」
210,その時津田は真ともにお延の方を見た。そうして思い切ったような口調で云った。「どうだ御前
211,岡本さんへ行ってちょっと融通して貰って来ないか」 章おわり。
212,八「厭よ、あたし」お延はすぐ断った。
213,彼女の言葉には何の淀みもなかった。遠慮と斟酌を通り越したその語気が津田にはあまりに不意過ぎた。
214,彼は相当の速力で走っている自動車を、突然停められた時のような衝撃を受けた。
215,彼は自分に同情のない細君に対して気を悪くする前に、まず驚ろいた。そうして細君の顔を眺めた。
216,「あたし、厭よ。岡本へ行ってそんな話をするのは」　お延は再び同じ言葉を夫の前に繰り返した。
217,「そうかい。それじゃ強いて頼まないでもいい。しかし」津田がこう云いかけた時、お延は冷かな
218,（けれども落ちついた）夫の言葉を、掬って追い退けるように遮った。「だって、あたしきまりが悪いんですもの。
219,いつでも行くたんびに、お延は好い所へ嫁に行って仕合せだ、厄介はなし、
220,生計に困るんじゃなしって云われつけているところへ持って来て、不意にそんな御金の話なんかすると、
221,きっと変な顔をされるにきまっているわ」お延が一概に津田の依頼を斥けたのは、夫に同情がないというよりも、
222,むしろ岡本に対する見栄に制せられたのだという事がようやく津田の腑に落ちた。
223,彼の眼のうちに宿った冷やかな光が消えた。「そんなに楽な身分のように吹聴しちゃ困るよ。
224,買い被られるのもいいが、時によるとかえってそれがために迷惑しないとも限らないからね」「あたし吹聴した覚なんかないわ。
225,ただ向うでそうきめているだけよ」津田は追窮もしなかった。お延もそれ以上説明する面倒を取らなかった。
226,二人はちょっと会話を途切らした後でまた実際問題に立ち戻った。しかし今まで自分の経済に関して
227,余り心を痛めた事のない津田には、別にどうしようという分別も出なかった。
228,「御父さんにも困っちまうな」というだけであった。お延は偶然思いついたように、今までそっちのけにしてあった、
229,自分の晴着と帯に眼を移した。「これどうかしましょうか」彼女は金の入った厚い帯の端を手に取って、
230,夫の眼に映るように、電灯の光に翳した。津田にはその意味がちょっと呑み込めなかった。「どうかするって、どうするんだい」
231,「質屋へ持ってったら御金を貸してくれるでしょう」津田は驚ろかされた。
232,自分がいまだかつて経験した事のないようなやりくり算段を、嫁に来たての若い細君が、疾くの昔から承知しているとすれば、
233,それは彼にとって驚ろくべき価値のある発見に相違なかった。「御前自分の着物かなんか質に入れた事があるのかい」
234,「ないわ、そんな事」　お延は笑いながら、軽蔑むような口調で津田の問を打ち消した。
235,「じゃ質に入れるにしたところで様子が分らないだろう」「ええ。だけどそんな事何でもないでしょう。入れると事がきまれば」
236,津田は極端な場合のほか、自分の細君にそうした下卑た真似をさせたくなかった。お延は弁解した。
237,「時が知ってるのよ。あの婢は宅にいる時分よく風呂敷包を抱えて質屋へ使いに行った事があるんですって。
238,それから近頃じゃ端書さえ出せば、向うから品物を受取りに来てくれるっていうじゃありませんか」細君が
239,大事な着物や帯を自分のために提供してくれるのは津田にとって嬉しい事実であった。しかしそれをあえてさせるのは
240,また彼にとっての苦痛にほかならなかった。
241,細君に対して気の毒というよりもむしろ夫の矜りを傷けるという意味において彼は躊躇した。
242,「まあよく考えて見よう」　彼は金策上何らの解決も与えずにまた二階へ上って行った。章おわり。
243,九
244,翌日津田は例のごとく自分の勤め先へ出た。
245,彼は午前に一回ひょっくり階子段の途中で吉川に出会った。しかし彼は下りがけ、向は上りがけだったので、
246,擦れ違に叮嚀な御辞儀をしたぎり、彼は何にも云わなかった。もう午飯に間もないという頃、
247,彼はそっと吉川の室の戸を敲いて、遠慮がちな顔を半分ほど中へ出した。
248,その時吉川は煙草を吹かしながら客と話をしていた。その客は無論彼の知らない人であった。
249,彼が戸を半分ほど開けた時、今まで調子づいていたらしい主客の会話が突然止まった。そうして二人ともこっちを向いた。
250,「何か用かい」　吉川から先へ言葉をかけられた津田は室の入口で立ちどまった。「ちょっと」「君自身の用事かい」
251,津田は固より表向の用事で、この室へ始終出入すべき人ではなかった。跋の悪そうな顔つきをした彼は答えた。
252,「そうです。ちょっと」「そんなら後にしてくれたまえ。今少し差支えるから」「はあ。気がつかない事をして失礼しました」
253,音のしないように戸を締めた津田はまた自分の机の前に帰った。午後になってから彼は二返ばかり同じ戸の前に立った。
254,しかし二返共吉川の姿はそこに見えなかった。「どこかへ行かれたのかい」
255,津田は下へ降りたついでに玄関にいる給使に訊いた。眼鼻だちの整ったその少年は、
256,石段の下に寝ている毛の長い茶色の犬の方へ自分の手を長く出して、
257,それを段上へ招き寄せる魔術のごとくに口笛を鳴らしていた。「ええ先刻御客さまといっしょに御出かけになりました。
258,ことによると今日はもうこちらへは御帰りにならないかも知れませんよ」毎日人の出入の番ばかりして暮しているこの給使は、
259,少なくともこの点にかけて、津田よりも確な予言者であった。津田はだれが伴れて来たか分らない茶色の犬と、
260,それからその犬を友達にしようとして大いに骨を折っているこの給使とをそのままにしておいて、また自分の机の前に立ち戻った。
261,そうしてそこで定刻まで例のごとく事務を執った。時間になった時、
262,彼はほかの人よりも一足後れて大きな建物を出た。彼はいつもの通り停留所の方へ歩きながら、ふと思い出したように、
263,また隠袋から時計を出して眺めた。それは精密な時刻を知るためよりも
264,むしろ自分の歩いて行く方向を決するためであった。帰りに吉川の私宅へ寄ったものか、止したものかと考えて、
265,無意味に時計と相談したと同じ事であった。彼はとうとう自分の家とは反対の方角に走る電車に飛び乗った。
266,吉川の不在勝な事をよく知り抜いている彼は、宅まで行ったところで必ず会えるとも思っていなかった。たまさかいたにしたところで、
267,都合が悪ければ会わずに帰されるだけだという事も承知していた。
268,しかし彼としては時々吉川家の門を潜る必要があった。それは礼儀のためでもあった。義理のためでもあった。
269,また利害のためでもあった。最後には単なる虚栄心のためでもあった。「津田は吉川と特別の知り合である」
270,彼は時々こういう事実を背中に背負って見たくなった。それからその荷を背負ったままみんなの前に立ちたくなった。
271,しかも自ら重んずるといった風の彼の平生の態度を毫も崩さずに、この事実を背負っていたかった。
272,物をなるべく奥の方へ押し隠しながら、その押し隠しているところを、かえって他に見せたがるのと同じような心理作用の下に、
273,彼は今吉川の玄関に立った。
274,そうして彼自身は飽くまでも用事のためにわざわざここへ来たものと自分を解釈していた。章おわり。
275,厳めしい表玄関の戸はいつもの通り締まっていた。
276,津田はその上半部に透し彫のように篏め込まれた厚い格子の中を何気なく覗いた。
277,中には大きな花崗石の沓脱が静かに横たわっていた。
278,それから天井の真中から蒼黒い色をした鋳物の電灯笠が下がっていた。
279,今までついぞここに足を踏み込んだ例のない彼はわざとそこを通り越して横手へ廻った。
280,そうして書生部屋のすぐ傍にある内玄関から案内を頼んだ。「まだ御帰りになりません」
281,小倉の袴を着けて彼の前に膝をついた書生の返事は簡単であった。
282,それですぐ相手が帰るものと呑み込んでいるらしい彼の様子が少し津田を弱らせた。津田はとうとう折り返して訊いた。
283,足をここまで運んで来る途中の彼の頭の中には、すでに最初から細君に会おうという気分がだいぶ働らいていた。
284,「ではどうぞ奥さんに」彼はまだ自分の顔を知らないこの新らしい書生に、もう一返取次を頼み直した。
285,書生は厭な顔もせずに奥へ入った。それからまた出て来た時、少し改まった口調で、
286,「奥さんが御目におかかりになるとおっしゃいますからどうぞ」と云って彼を西洋建の応接間へ案内した。
287,彼がそこにある椅子に腰をかけるや否や、まだ茶も莨盆も運ばれない先に、細君はすぐ顔を出した。
288,「今御帰りがけ？」　彼はおろした腰をまた立てなければならなかった。「奥さんはどうなすって」
289,津田の挨拶に軽い会釈をしたなり席に着いた細君はすぐこう訊いた。津田はちょっと苦笑した。
290,何と返事をしていいか分らなかった。「奥さんができたせいか近頃はあんまり宅へいらっしゃらなくなったようね」
291,細君の言葉には遠慮も何もなかった。彼女は自分の前に年齢下の男を見るだけであった。
292,そうしてその年齢下の男はかねて眼下の男であった。「まだ嬉しいんでしょう」
293,津田は軽く砂を揚げて来る風を、じっとしてやり過ごす時のように、おとなしくしていた。
294,「だけど、もうよっぽどになるわね、結婚なすってから」「ええもう半歳と少しになります」「早いものね、
295,ついこの間だと思っていたのに。――それでどうなのこの頃は」「何がです」「御夫婦仲がよ」「別にどうという事もありません」
296,「じゃもう嬉しいところは通り越しちまったの。嘘をおっしゃい」「嬉しいところなんか始めからないんですから、仕方がありません」
297,「時にあなた御いくつ？」「もうたくさんです」「たくさんじゃないわよ。ちょっと伺いたいから伺ったんだから、正直に淡泊とおっしゃいよ」
298,「じゃ申し上げます。実は三十です」「すると来年はもう一ね」「順に行けばまあそうなる勘定です」「お延さんは？」
299,「あいつは三です」「来年？」「いえ今年」　章、終り。
300,吉川の細君はこんな調子でよく津田に調戯った。機嫌の好い時はなおさらであった。
301,津田も折々は向うを調戯い返した。けれども彼の見た細君の態度には、
302,談話の途中でよく拘泥った。そうしてもし事情が許すならば、
303,どこまでも話の根を掘じって、相手の本意を突き留めようとした。遠慮のためにそこまで行けない時は、
304,黙って相手の顔色だけを注視した。その時の彼の眼には必然の結果としていつでも軽い疑いの雲がかかった。
305,それが臆病にも見えた。注意深くも見えた。または自衛的に慢ぶる神経の光を放つかのごとくにも見えた。
306,最後に、「思慮に充ちた不安」とでも形容してしかるべき一種の匂も帯びていた。
307,吉川の細君は津田に会うたんびに、一度か二度きっと彼をそこまで追い込んだ。
308,津田はまたそれと自覚しながらいつの間にかそこへ引き摺り込まれた。「奥さんはずいぶん意地が悪いですね」「どうして？
309,あなた方の御年歯を伺ったのが意地が悪いの」
310,いったいあなたはあんまり研究家だから駄目ね。学問をするには研究が必要かも知れないけれども、交際に研究は禁物よ。
311,あなたがその癖をやめると、もっと人好のする好い男になれるんだけれども」　津田は少し痛かった。
312,けれどもそれは彼の胸に来る痛さで、彼の頭に応える痛さではなかった。
313,帰ってあなたの奥さんに訊いて御覧遊ばせ。お延さんもきっと私と同意見だから。お延さんばかりじゃないわ、
